Identificador do processo de viagem,Distancia_Notebook,Emissoes_Notebook,Distancia_Baseline,Emissoes_Baseline,Distancia_Itinerario,Diferenca_Distancia,Diferenca_Emissoes,Abs_Dif_Distancia,Perc_Dif_Emissoes,Dif_Dist_Notebook_vs_Itinerario
000000000000018835196,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000018924776,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000018932951,2322.2513,424.6686,2294.6939,419.6292,,27.5574,5.0394,27.5574,0.012,
000000000000018937420,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000018940972,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000018942342,6133.166,1227.2969,6109.5911,1117.257,,23.575,110.0399,23.575,0.0985,
000000000000018973156,4418.3644,884.151,4398.3351,804.3207,,20.0293,79.8303,20.0293,0.0993,
000000000000018997079,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019001658,1335.8455,244.2852,1331.4793,243.4868,,4.3661,0.7984,4.3661,0.0033,
000000000000019006789,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019012122,9396.6915,1880.3552,9403.3229,1881.6828,,-6.6314,-1.3276,6.6314,0.0007,
000000000000019016293,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019019910,1103.5865,201.8122,1092.4729,297.7827,,11.1137,-95.9705,11.1137,0.3223,
000000000000019024524,5102.7877,1021.1097,5083.2953,929.5789,,19.4924,91.5308,19.4924,0.0985,
000000000000019032444,5182.9207,1037.145,5177.7979,946.8606,,5.1228,90.2844,5.1228,0.0954,
000000000000019040494,5006.3424,1001.8102,4992.8231,913.0343,,13.5193,88.7759,13.5193,0.0972,
000000000000019040802,5006.3424,1001.8102,4992.8231,913.0343,,13.5193,88.7759,13.5193,0.0972,
000000000000019041166,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019041175,1522.9251,278.4963,1482.2388,271.0561,,40.6863,7.4402,40.6863,0.0274,
000000000000019041737,1522.9251,278.4963,1482.2388,271.0561,,40.6863,7.4402,40.6863,0.0274,
000000000000019044799,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019045645,5006.3424,1001.8102,4992.8231,913.0343,,13.5193,88.7759,13.5193,0.0972,
000000000000019052755,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019052806,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019052847,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
