Identificador do processo de viagem,Distancia_Notebook,Distancia_Baseline,Diferenca_Distancia,Emissoes_Notebook,Emissoes_Baseline,Diferenca_Emissoes,Perc_Dif_Emissoes
000000000000018697949,18419.6847,4379.9485,14039.7362,3685.9302,800.9584,2884.9718,3.6019
000000000000018720751,18419.6847,4379.9485,14039.7362,3685.9302,800.9584,2884.9718,3.6019
000000000000019236386,5520.2366,5634.1966,-113.96,1104.6447,1030.3219,74.3228,0.0721
000000000000018769098,5520.2366,5634.1966,-113.96,1104.6447,1030.3219,74.3228,0.0721
000000000000019379967,5520.2366,5634.1966,-113.96,1104.6447,1030.3219,74.3228,0.0721
000000000000019368089,5520.2366,5634.1966,-113.96,1104.6447,1030.3219,74.3228,0.0721
000000000000019346753,5520.2366,5634.1966,-113.96,1104.6447,1030.3219,74.3228,0.0721
000000000000019259579,5520.2366,5634.1966,-113.96,1104.6447,1030.3219,74.3228,0.0721
000000000000019237284,5520.2366,5634.1966,-113.96,1104.6447,1030.3219,74.3228,0.0721
000000000000018954786,31762.5278,31845.1642,-82.6364,6355.9427,6372.4811,-16.5384,0.0026
000000000000019554193,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019418973,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019374948,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019373884,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019251260,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019231480,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019019910,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000018818864,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000018822455,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000018859663,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000018876387,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000018893669,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019554620,1103.5865,1092.4729,11.1137,201.8122,297.7827,-95.9705,0.3223
000000000000019290952,796.967,791.1972,5.7698,145.7408,215.662,-69.9212,0.3242
000000000000019315974,796.967,791.1972,5.7698,145.7408,215.662,-69.9212,0.3242
000000000000019287629,796.967,791.1972,5.7698,145.7408,215.662,-69.9212,0.3242
000000000000019280831,796.967,791.1972,5.7698,145.7408,215.662,-69.9212,0.3242
000000000000019268869,796.967,791.1972,5.7698,145.7408,215.662,-69.9212,0.3242
000000000000019217117,971.8892,973.4693,-1.5802,177.7287,265.3451,-87.6164,0.3302
000000000000019377521,971.8892,973.4693,-1.5802,177.7287,265.3451,-87.6164,0.3302
000000000000019262550,971.8892,973.4693,-1.5802,177.7287,265.3451,-87.6164,0.3302
000000000000019383526,971.8892,973.4693,-1.5802,177.7287,265.3451,-87.6164,0.3302
000000000000019133964,971.8892,973.4693,-1.5802,177.7287,265.3451,-87.6164,0.3302
000000000000019208009,971.8892,973.4693,-1.5802,177.7287,265.3451,-87.6164,0.3302
000000000000019133755,971.8892,973.4693,-1.5802,177.7287,265.3451,-87.6164,0.3302
